Item ID,Color ID,Size ID,Item Name,Color Name,Size Name,SKU Description,Department,Class,Wholesale Price,Retail Price,Retail Markup $,Retail Markup %,On Hand #
011,010,002,Double Wrap Solid Belt,Black,0,Black 0,Belts,Solid,$3.49,$6.99,$3.50,100.3%,110
011,010,010,Double Wrap Solid Belt,Black,1,Black 1,Belts,Solid,$3.49,$6.99,$3.50,100.3%,70
011,010,020,Double Wrap Solid Belt,Black,2,Black 2,Belts,Solid,$3.49,$6.99,$3.50,100.3%,245
011,010,030,Double Wrap Solid Belt,Black,3,Black 3,Belts,Solid,$3.49,$6.99,$3.50,100.3%,461
011,010,040,Double Wrap Solid Belt,Black,4,Black 4,Belts,Solid,$3.49,$6.99,$3.50,100.3%,629
011,010,050,Double Wrap Solid Belt,Black,5,Black 5,Belts,Solid,$3.49,$6.99,$3.50,100.3%,515
011,010,060,Double Wrap Solid Belt,Black,6,Black 6,Belts,Solid,$3.49,$6.99,$3.50,100.3%,347
011,010,070,Double Wrap Solid Belt,Black,7,Black 7,Belts,Solid,$3.49,$6.99,$3.50,100.3%,124
011,010,080,Double Wrap Solid Belt,Black,8,Black 8,Belts,Solid,$3.49,$6.99,$3.50,100.3%,76
011,010,090,Double Wrap Solid Belt,Black,9,Black 9,Belts,Solid,$3.49,$6.99,$3.50,100.3%,55
011,100,002,Double Wrap Solid Belt,White,0,White 0,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"3,582"
011,100,010,Double Wrap Solid Belt,White,1,White 1,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,969"
011,100,020,Double Wrap Solid Belt,White,2,White 2,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,009"
011,100,030,Double Wrap Solid Belt,White,3,White 3,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,591"
011,100,040,Double Wrap Solid Belt,White,4,White 4,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,312"
